product_type,product_name,sales_volume,price,sale_time,date,platform,brand,reviews,rating,is_promo
Bánh kẹo,Front-line dedicated focus group,480.0,244.88,Tháng 1,2024-01-13,Lazada,Too Faced,0,1.8,0
Bánh kẹo,Implemented mission-critical system engine,7.0,246.01,Tháng 5,2022-06-19,Lazada,Urban Decay,897,2.9,0
Bánh kẹo,Secured full-range alliance,3527.0,138.13,Tháng 2,2024-10-13,Lazada,Dr. Jart+,787,2.0,1
Bánh kẹo,Quality-focused needs-based protocol,1442.0,162.8,Tháng 2,2022-06-11,Shopee,LG,962,3.6,0
Bánh kẹo,Virtual value-added forecast,865.0,220.44,Tháng 5,2024-06-30,Shopee,Neutrogena,46,4.5,0
Bánh kẹo,User-centric 5thgeneration capability,1050.0,421.27,Tháng 4,2024-06-29,Shopee,CeraVe,626,3.9,0
Bánh kẹo,De-engineered well-modulated application,457.0,297.64,Tháng 2,2022-09-05,Shopee,Fa,213,4.6,0
Bánh kẹo,Front-line impactful ability,2817.0,224.24,Tháng 2,2022-09-20,Shopee,NARS,273,2.4,0
Bánh kẹo,Multi-tiered systematic knowledge user,832.0,100.72,Tháng 1,2023-12-30,Lazada,Neutrogena,589,1.5,1
Bánh kẹo,Business-focused explicit flexibility,275.0,102.2,Tháng 12,2022-07-15,Shopee,Jojoba Oil,761,2.1,1
Bánh kẹo,Advanced uniform neural-net,3887.0,273.2,Tháng 5,2024-04-16,Shopee,Urban Decay,778,2.6,0
Bánh kẹo,Re-engineered reciprocal Local Area Network,4253.0,154.7,Tháng 7,2024-07-29,Lazada,Drunk Elephant,323,3.0,1
Bánh kẹo,Cloned background migration,3996.0,50.81,Tháng 6,2024-05-25,Lazada,Clarins,667,1.2,1
Bánh kẹo,Cross-group directional interface,4045.0,191.03,Tháng 3,2023-01-03,Lazada,Benton,713,4.8,0
Bánh kẹo,Programmable homogeneous toolset,2876.0,67.4,Tháng 5,2024-01-12,Lazada,P&G,114,2.7,1
Bánh kẹo,Ameliorated scalable data-warehouse,2828.0,333.24,Tháng 12,2024-07-29,Lazada,Dior,418,4.9,0
Bánh kẹo,Profound scalable solution,4284.0,393.0,Tháng 12,2022-06-25,Lazada,Shu Uemura,384,2.7,0
Bánh kẹo,Robust 3rdgeneration parallelism,4089.0,74.54,Tháng 11,2024-07-04,Shopee,Revlon,65,5.0,1
Bánh kẹo,Synergized demand-driven moratorium,2638.0,369.76,Tháng 3,2023-09-09,Shopee,Bioré,938,3.0,0
Bánh kẹo,Robust web-enabled challenge,4436.0,479.75,Tháng 11,2023-12-24,Lazada,Chanel,648,5.0,0
Bánh kẹo,Diverse incremental paradigm,4045.0,435.76,Tháng 6,2022-12-26,Lazada,SkinCeuticals,588,2.3,0
Bánh kẹo,Cloned fresh-thinking interface,340.0,247.44,Tháng 5,2022-06-18,Lazada,NARS,138,2.3,0
Bánh kẹo,Secured intermediate leverage,4284.0,394.69,Tháng 10,2021-11-02,Shopee,Zalora,109,2.9,0
Bánh kẹo,Progressive impactful budgetary management,793.0,334.52,Tháng 11,2023-05-07,Lazada,Garnier Fructis,283,1.9,0
Bánh kẹo,Exclusive cohesive task-force,1131.0,167.28,Tháng 4,2022-11-13,Lazada,Sony,0,4.7,0
Bánh kẹo,Cross-platform asynchronous encoding,4232.0,462.72,Tháng 3,2023-12-24,Lazada,Olay Regenerist,839,3.3,0
Bánh kẹo,Future-proofed multi-tasking application,4355.0,346.22,Tháng 3,2024-02-06,Shopee,Neutrogena,343,4.7,0
Bánh kẹo,Public-key stable analyzer,4857.0,316.1,Tháng 8,2024-08-13,Shopee,TRESemmé,785,3.8,0
Bánh kẹo,Intuitive human-resource customer loyalty,893.0,241.42,Tháng 2,2024-08-10,Shopee,Shu Uemura,166,3.8,0
Bánh kẹo,Configurable cohesive secured line,3495.0,460.01,Tháng 7,2022-02-08,Shopee,Nivea,369,3.4,0
Bánh kẹo,Ergonomic local model,2236.0,179.77,Tháng 4,2024-06-17,Shopee,Aveda,627,4.7,0
Bánh kẹo,Enterprise-wide analyzing challenge,3079.0,143.35,Tháng 9,2022-05-23,Lazada,Neutrogena,441,2.0,1
Bánh kẹo,Managed coherent workforce,3877.0,319.48,Tháng 4,2022-09-17,Shopee,Pond's,619,2.9,0
Bánh kẹo,Expanded homogeneous emulation,209.0,271.99,Tháng 5,2022-07-27,Lazada,Shu Uemura,125,1.7,0
Bánh kẹo,Innovative motivating database,2898.0,261.82,Tháng 12,2023-12-02,Shopee,Coty,435,1.9,0
Bánh kẹo,Expanded cohesive framework,1761.0,44.18,Tháng 10,2024-03-25,Lazada,L'Oréal,921,3.5,1
Bánh kẹo,Self-enabling fault-tolerant benchmark,576.0,264.27,Tháng 9,2024-10-04,Lazada,Pond's,369,1.3,0
Bánh kẹo,Team-oriented bi-directional capability,4474.0,478.76,Tháng 9,2022-03-31,Lazada,The Body Shop Tea Tree,610,1.5,0
Bánh kẹo,Organic bifurcated structure,3087.0,301.44,Tháng 7,2023-04-01,Shopee,L'Oreal Elvive,145,1.8,0
Bánh kẹo,Triple-buffered human-resource structure,869.0,368.71,Tháng 1,2023-11-24,Lazada,Dell,169,3.9,0
Bánh kẹo,Self-enabling transitional encoding,4453.0,228.86,Tháng 3,2022-08-18,Shopee,LG,214,1.9,1
Bánh kẹo,Monitored transitional database,3171.0,126.49,Tháng 1,2022-10-09,Shopee,L'Oréal Professionnel,909,4.6,1
Bánh kẹo,Down-sized incremental contingency,3409.0,224.99,Tháng 12,2024-08-19,Lazada,Shu Uemura,203,2.0,0
Bánh kẹo,Enterprise-wide upward-trending success,3288.0,443.43,Tháng 4,2022-10-07,Lazada,Dove,895,2.1,0
Bánh kẹo,Enterprise-wide dedicated attitude,897.0,292.4,Tháng 1,2021-11-25,Lazada,MAC Cosmetics,713,3.9,0
Bánh kẹo,Profound even-keeled hierarchy,3545.0,413.92,Tháng 8,2024-05-26,Lazada,Urban Decay,49,2.5,0
Bánh kẹo,Versatile high-level leverage,3356.0,153.37,Tháng 6,2024-01-02,Shopee,Smashbox,597,2.2,1
Bánh kẹo,Innovative full-range policy,142.0,218.07,Tháng 11,2023-03-18,Shopee,Shu Uemura,837,2.1,0
Bánh kẹo,Multi-layered user-facing paradigm,4868.0,33.71,Tháng 10,2024-05-10,Lazada,Fenty Beauty,339,1.8,1
Bánh kẹo,Re-contextualized global portal,2285.0,48.63,Tháng 3,2022-04-28,Lazada,Lancôme,148,1.7,1
Bánh kẹo,Operative methodical groupware,1713.0,464.17,Tháng 7,2023-12-11,Lazada,Kraft,291,4.3,0
Bánh kẹo,Diverse user-facing initiative,3211.0,54.6,Tháng 11,2021-12-25,Lazada,Tarte Cosmetics,529,3.2,1
Bánh kẹo,Multi-channeled multi-state circuit,3378.0,386.11,Tháng 1,2024-05-29,Shopee,Nestle,322,3.6,0
Bánh kẹo,Polarized encompassing paradigm,3871.0,72.86,Tháng 12,2024-04-26,Lazada,NARS,312,4.0,1
Bánh kẹo,Extended 3rdgeneration matrix,2459.0,432.81,Tháng 12,2022-04-25,Lazada,Dior,125,2.2,0
Bánh kẹo,Expanded systemic contingency,4950.0,317.6,Tháng 10,2022-05-19,Lazada,H&M,655,2.6,0
Bánh kẹo,Team-oriented modular moratorium,2016.0,12.27,Tháng 2,2021-11-03,Lazada,Simple,819,3.2,1
Bánh kẹo,De-engineered exuding flexibility,4386.0,449.29,Tháng 2,2022-11-06,Shopee,The Body Shop,54,3.9,0
Bánh kẹo,Virtual attitude-oriented data-warehouse,2731.0,177.95,Tháng 1,2022-03-29,Lazada,SkinCeuticals,569,4.4,0
Bánh kẹo,Progressive full-range capability,4157.0,200.3,Tháng 2,2022-11-30,Shopee,The Ordinary,350,1.8,1
Bánh kẹo,Progressive bifurcated project,2082.0,303.97,Tháng 4,2023-08-06,Lazada,SkinCeuticals,971,2.0,0
Bánh kẹo,Integrated client-server architecture,1178.0,368.89,Tháng 4,2022-07-23,Shopee,L'Oréal,128,4.2,0
Bánh kẹo,Reverse-engineered multimedia customer loyalty,3951.0,36.7,Tháng 1,2023-09-07,Shopee,Freeman,330,4.5,1
Bánh kẹo,Optimized exuding productivity,2192.0,348.0,Tháng 12,2023-05-02,Shopee,Physiogel,771,4.4,0
Bánh kẹo,Reactive clear-thinking parallelism,9.0,287.3,Tháng 10,2022-01-31,Shopee,LANEIGE,1,1.7,0
Bánh kẹo,Public-key system-worthy core,4525.0,478.52,Tháng 11,2022-03-07,Lazada,SkinCeuticals,166,1.7,0
Bánh kẹo,Fully-configurable content-based database,2257.0,316.03,Tháng 12,2024-09-29,Lazada,Sunsilk,125,4.7,0
Bánh kẹo,Fundamental dedicated Local Area Network,3811.0,481.41,Tháng 8,2024-09-11,Lazada,Bioré,803,1.7,0
Bánh ngọt,Vision-oriented background open architecture,4391.0,91.49,Tháng 8,2024-10-05,Lazada,Physiogel,830,2.6,1
Bánh ngọt,Programmable intermediate budgetary management,1498.0,494.8,Tháng 5,2023-11-07,Shopee,Kraft,457,2.5,0
Bánh ngọt,Synchronized bi-directional array,2589.0,116.54,Tháng 9,2024-07-16,Lazada,Nivea Men,393,1.3,1
Bánh ngọt,Cross-group discrete solution,1998.0,69.89,Tháng 3,2023-12-07,Shopee,Aveda,106,2.5,1
Bánh ngọt,Business-focused tertiary function,394.0,323.76,Tháng 5,2024-02-12,Lazada,Olay Regenerist,735,1.0,0
Bánh ngọt,Centralized encompassing ability,2747.0,352.98,Tháng 1,2023-08-24,Shopee,Fenty Beauty,878,1.6,0
Bánh ngọt,Mandatory even-keeled architecture,3684.0,473.92,Tháng 9,2023-08-31,Shopee,Zalora,759,3.3,0
Bánh ngọt,Adaptive zero tolerance product,665.0,39.01,Tháng 12,2023-11-29,Shopee,Chanel,182,3.9,1
Bánh ngọt,Customer-focused dedicated help-desk,803.0,447.08,Tháng 11,2023-04-15,Lazada,Glade,607,3.9,0
Bánh ngọt,Realigned zero administration support,1918.0,202.55,Tháng 1,2022-02-18,Lazada,Zara,558,1.3,0
Bánh ngọt,Focused background Graphical User Interface,2692.0,275.77,Tháng 5,2021-11-17,Lazada,Pond's,951,1.7,0
Bánh ngọt,Virtual global migration,4613.0,191.92,Tháng 10,2023-09-26,Lazada,Muji,209,1.4,1
Bánh ngọt,Multi-lateral disintermediate middleware,34.0,400.12,Tháng 6,2023-02-02,Lazada,Burt's Bees,158,2.9,0
Bánh ngọt,Managed optimal open architecture,1196.0,132.65,Tháng 4,2021-11-08,Lazada,Sony,856,2.3,1
Bánh ngọt,Synergized zero tolerance array,3079.0,471.65,Tháng 12,2022-06-03,Lazada,O.P.I.,320,4.2,0
Bánh ngọt,Expanded dynamic standardization,677.0,474.7,Tháng 1,2024-08-01,Lazada,Smashbox,991,1.6,0
Bánh ngọt,Innovative multi-tasking alliance,1227.0,314.33,Tháng 3,2022-04-18,Shopee,Althea,122,2.1,0
Bánh ngọt,Self-enabling bandwidth-monitored Graphical User Interface,1372.0,78.94,Tháng 8,2021-11-09,Shopee,L'Oreal Elvive,308,3.0,1
Bánh ngọt,Persistent mobile groupware,2898.0,37.64,Tháng 5,2023-06-29,Lazada,Pond's,866,1.4,1
Bánh ngọt,Expanded next generation productivity,2245.0,202.32,Tháng 8,2023-06-03,Shopee,Fa,936,4.2,0
Bánh ngọt,Realigned full-range hierarchy,4602.0,337.51,Tháng 5,2023-02-17,Shopee,Yves Rocher,460,1.7,0
Bánh ngọt,Reactive solution-oriented migration,1381.0,179.79,Tháng 7,2024-05-01,Lazada,Bioré,596,2.6,0
Bánh ngọt,Front-line homogeneous Internet solution,3912.0,321.66,Tháng 6,2023-04-12,Lazada,Nike,200,3.2,0
Bánh ngọt,Cross-group neutral conglomeration,4503.0,445.04,Tháng 3,2021-12-07,Shopee,Apple,335,4.0,0
Bánh ngọt,Organized national intranet,1486.0,435.84,Tháng 2,2023-12-01,Shopee,Coca-Cola,104,4.7,0
Bánh ngọt,Multi-layered fault-tolerant success,884.0,352.21,Tháng 4,2022-09-16,Shopee,Kose,973,1.7,0
Bánh ngọt,Streamlined actuating orchestration,3992.0,312.57,Tháng 1,2023-08-01,Shopee,Urban Decay,240,3.9,0
Bánh ngọt,Fully-configurable multi-state focus group,1271.0,419.62,Tháng 5,2023-12-27,Shopee,CeraVe,487,4.1,0
Bánh ngọt,Fundamental optimal hardware,3524.0,10.68,Tháng 6,2023-01-30,Shopee,Sally Hansen,643,2.1,1
Bánh ngọt,Pre-emptive logistical strategy,3532.0,445.47,Tháng 8,2023-07-15,Lazada,Yves Rocher,309,2.0,0
Bánh ngọt,Upgradable cohesive intranet,614.0,452.66,Tháng 2,2023-11-02,Shopee,Too Faced,216,1.1,0
Bánh ngọt,Centralized value-added open architecture,436.0,392.0,Tháng 11,2024-09-25,Shopee,SNAILWHITE,51,4.3,0
Bánh ngọt,Intuitive systemic implementation,817.0,307.81,Tháng 10,2023-10-08,Shopee,Neutrogena,452,1.6,0
Bánh ngọt,Cloned local model,1797.0,165.44,Tháng 5,2022-09-01,Lazada,Dove Men+Care,855,2.8,0
Bánh ngọt,Cloned exuding groupware,3748.0,10.45,Tháng 5,2023-12-06,Shopee,LG,583,3.6,1
Bánh ngọt,Re-engineered cohesive database,1199.0,97.94,Tháng 11,2023-12-31,Lazada,Yves Rocher,101,1.7,1
Bánh ngọt,Streamlined next generation neural-net,2161.0,487.93,Tháng 4,2023-10-08,Shopee,Laneige,121,3.5,0
Bánh ngọt,Compatible zero administration strategy,1696.0,405.77,Tháng 1,2022-08-04,Shopee,Uniqlo,202,3.9,0
Bánh ngọt,Visionary coherent toolset,2923.0,223.31,Tháng 1,2024-08-05,Lazada,Apple,327,1.7,0
Bánh ngọt,Vision-oriented maximized database,1265.0,325.73,Tháng 4,2022-05-03,Shopee,TRESemmé,619,3.7,0
Bánh ngọt,Polarized didactic moderator,1925.0,224.89,Tháng 10,2021-11-28,Lazada,Clinique for Men,673,1.8,0
Bánh ngọt,Profound interactive structure,3949.0,32.11,Tháng 8,2024-02-11,Lazada,Cosrx,840,4.3,1
Bánh ngọt,Programmable real-time projection,3963.0,323.04,Tháng 4,2024-09-08,Lazada,Jojoba Oil,859,4.7,0
Bánh ngọt,Assimilated multimedia model,4464.0,67.95,Tháng 6,2024-05-01,Shopee,H&M,327,3.2,1
Bánh ngọt,Triple-buffered zero administration definition,4256.0,238.03,Tháng 7,2024-01-30,Shopee,Eucerin,690,1.9,1
Bánh ngọt,Synergistic value-added pricing structure,269.0,37.53,Tháng 10,2023-01-04,Shopee,L'Occitane,549,2.9,1
Bánh ngọt,Secured high-level superstructure,4162.0,164.55,Tháng 2,2023-11-30,Lazada,Apple,906,3.7,1
Bánh ngọt,Realigned dedicated forecast,181.0,25.8,Tháng 9,2023-03-22,Shopee,Olay,122,1.2,1
Bánh ngọt,Decentralized disintermediate infrastructure,4404.0,126.09,Tháng 10,2024-10-04,Shopee,LANEIGE,594,3.4,1
Bánh ngọt,Synchronized background installation,37.0,436.94,Tháng 4,2021-11-07,Lazada,Dove Body Wash,659,2.8,0
Bánh ngọt,Self-enabling needs-based frame,1147.0,237.49,Tháng 12,2024-05-08,Lazada,Clinique,442,1.7,0
Bánh ngọt,User-centric system-worthy knowledge user,2210.0,185.27,Tháng 11,2024-03-09,Shopee,Anastasia Beverly Hills,38,4.8,0
Bánh ngọt,Polarized static parallelism,4416.0,262.96,Tháng 12,2023-06-04,Lazada,Dove Body Wash,626,2.7,0
Bánh ngọt,Optional fresh-thinking initiative,702.0,122.5,Tháng 7,2022-03-31,Lazada,Dell,414,1.0,1
Bánh ngọt,Expanded user-facing hardware,3115.0,280.42,Tháng 10,2022-11-07,Shopee,CeraVe,961,3.0,0
Bánh ngọt,Robust client-driven knowledgebase,2260.0,46.57,Tháng 11,2022-03-13,Shopee,Dell,188,3.1,1
Bánh ngọt,Fully-configurable object-oriented analyzer,2273.0,400.34,Tháng 1,2022-11-03,Shopee,L'Oréal,276,4.3,0
Bánh ngọt,Distributed asymmetric conglomeration,4452.0,125.02,Tháng 7,2024-01-13,Shopee,Kose,979,3.1,1
Bánh ngọt,Quality-focused encompassing database,3658.0,300.92,Tháng 8,2023-01-06,Shopee,TRESemmé,841,5.0,0
Bánh ngọt,Monitored radical strategy,1273.0,325.14,Tháng 9,2021-11-10,Lazada,Dior,384,3.5,0
Bánh ngọt,Ameliorated foreground middleware,3901.0,59.22,Tháng 9,2023-06-16,Lazada,Biore,573,4.9,1
Bánh ngọt,Distributed modular product,3564.0,266.93,Tháng 11,2022-03-04,Lazada,SkinCeuticals,352,1.1,0
Bánh ngọt,Secured national artificial intelligence,3816.0,314.03,Tháng 10,2022-10-20,Lazada,NARS,793,5.0,0
Bánh ngọt,Multi-channeled secondary benchmark,1038.0,349.36,Tháng 1,2021-11-14,Shopee,Colgate,472,3.8,0
Bánh ngọt,Face-to-face actuating hub,4261.0,14.68,Tháng 5,2023-01-20,Lazada,Zalora,329,2.1,1
Bánh ngọt,Self-enabling exuding instruction set,3808.0,185.25,Tháng 8,2023-12-10,Shopee,H&M,509,2.4,0
Bánh ngọt,Robust global archive,458.0,257.98,Tháng 4,2022-08-23,Lazada,SkinCeuticals,277,1.6,0
Bánh ngọt,Universal motivating secured line,4059.0,227.25,Tháng 9,2024-01-18,Lazada,Revlon,978,3.7,1
Bánh ngọt,Networked multi-tasking orchestration,4437.0,225.24,Tháng 12,2023-12-01,Shopee,Olay Regenerist,722,4.3,1
Bánh ngọt,Cross-group upward-trending methodology,1023.0,53.54,Tháng 12,2023-02-10,Lazada,Sunsilk,396,3.5,1
Bánh ngọt,Open-source 5thgeneration definition,2726.0,218.61,Tháng 4,2024-02-13,Lazada,Neutrogena,560,1.7,0
Bánh ngọt,Multi-layered asynchronous system engine,92.0,440.53,Tháng 4,2023-01-10,Shopee,L'Oreal Paris,238,3.5,0
Bánh ngọt,Function-based context-sensitive definition,2556.0,235.64,Tháng 1,2022-02-24,Shopee,Tatcha,431,2.2,0
Bánh ngọt,Switchable zero tolerance moderator,1400.0,91.17,Tháng 3,2023-07-06,Lazada,LANEIGE,790,1.6,1
Bánh ngọt,Centralized cohesive matrix,696.0,350.64,Tháng 12,2022-02-27,Shopee,Yves Rocher,314,4.3,0
Bánh ngọt,Customer-focused solution-oriented extranet,3255.0,421.38,Tháng 6,2024-06-09,Lazada,Innisfree,219,1.2,0
Bánh ngọt,Ameliorated logistical Graphic Interface,1157.0,406.9,Tháng 10,2023-12-11,Shopee,Revlon,226,3.0,0
Bánh ngọt,Streamlined client-server approach,3114.0,324.1,Tháng 8,2022-10-18,Lazada,Tatcha,712,3.2,0
Bánh ngọt,Enterprise-wide bi-directional budgetary management,1066.0,62.89,Tháng 3,2024-07-13,Lazada,Revlon Colorstay,147,4.6,1
Bánh ngọt,Organic bi-directional access,579.0,466.72,Tháng 11,2021-11-02,Shopee,Drunk Elephant,557,2.9,0
Bánh ngọt,Streamlined next generation strategy,727.0,302.33,Tháng 6,2022-02-09,Shopee,Wella,300,4.2,0
Bánh ngọt,Focused intermediate support,2746.0,284.68,Tháng 10,2023-12-14,Shopee,Dell,677,2.0,0
Bánh ngọt,Grass-roots multi-state solution,1987.0,18.54,Tháng 11,2024-02-25,Shopee,SK-II,463,1.0,1
Bánh ngọt,Adaptive directional Internet solution,4410.0,83.93,Tháng 9,2022-09-28,Lazada,Tarte Cosmetics,122,2.8,1
Bút kẻ mày,Multi-lateral optimal service-desk,1750.0,497.39,Tháng 8,2024-09-14,Lazada,Laneige,246,3.2,0
Bút kẻ mày,Fully-configurable asynchronous firmware,4421.0,68.32,Tháng 8,2022-12-20,Shopee,Apple,588,2.6,1
Bút kẻ mày,Reduced scalable knowledgebase,3317.0,249.76,Tháng 11,2024-09-05,Shopee,Dove Men+Care,762,1.5,0
Bút kẻ mày,Reactive responsive forecast,3150.0,269.16,Tháng 6,2024-06-09,Shopee,Glade,559,2.0,0
Bút kẻ mày,Intuitive bifurcated throughput,2874.0,136.46,Tháng 3,2023-07-19,Shopee,Olay Regenerist,830,1.6,1
Bút kẻ mày,Networked impactful moratorium,1553.0,85.77,Tháng 12,2024-08-07,Shopee,SNAILWHITE,538,4.7,1
Bút kẻ mày,Extended asymmetric implementation,283.0,146.66,Tháng 11,2023-11-08,Lazada,Cosrx,540,2.9,0
Bút kẻ mày,Programmable demand-driven conglomeration,4125.0,359.18,Tháng 8,2023-04-05,Lazada,Eucerin,505,5.0,0
Bút kẻ mày,Inverse multi-tasking core,1207.0,136.65,Tháng 1,2024-04-21,Shopee,Apple,314,3.0,1
Bút kẻ mày,Customizable upward-trending capability,3952.0,123.0,Tháng 11,2023-05-03,Lazada,Freeman,312,1.8,1
Bút kẻ mày,Total optimal ability,1542.0,48.42,Tháng 2,2024-02-19,Shopee,Drunk Elephant,209,2.5,1
Bút kẻ mày,Cloned tangible intranet,2713.0,279.42,Tháng 4,2023-07-10,Shopee,Cosrx,215,2.8,0
Bút kẻ mày,Switchable clear-thinking website,2404.0,335.7,Tháng 8,2023-04-08,Lazada,Benton,918,3.4,0
Bút kẻ mày,Extended grid-enabled conglomeration,4927.0,229.43,Tháng 7,2021-12-07,Lazada,Dior,581,4.9,1
Bút kẻ mày,Enterprise-wide global model,1583.0,65.41,Tháng 8,2022-05-06,Lazada,Tarte Cosmetics,175,4.5,1
Bút kẻ mày,Fundamental 6thgeneration collaboration,3937.0,176.5,Tháng 9,2024-01-18,Lazada,Innisfree,743,2.2,0
Bút kẻ mày,Reactive tangible pricing structure,4579.0,219.24,Tháng 10,2024-01-23,Lazada,Fanta,198,3.9,1
Bút kẻ mày,Enhanced client-server moratorium,3588.0,466.8,Tháng 10,2023-09-16,Shopee,L'Occitane,337,1.2,0
Bút kẻ mày,Compatible actuating installation,3159.0,488.85,Tháng 9,2024-01-24,Shopee,Nestle,560,2.4,0
Bút kẻ mày,Quality-focused fresh-thinking functionalities,2168.0,309.81,Tháng 9,2022-01-09,Lazada,H&M,293,3.6,0
Bút kẻ mày,Switchable national support,1860.0,268.16,Tháng 8,2024-06-05,Shopee,Pond's,558,2.2,0
Bút kẻ mày,Cross-platform upward-trending parallelism,2338.0,64.98,Tháng 12,2024-08-05,Lazada,Coty,476,3.7,1
Bút kẻ mày,Re-contextualized systemic leverage,1310.0,112.38,Tháng 11,2024-01-04,Shopee,Clarins,608,4.1,1
Bút kẻ mày,Compatible national core,3463.0,339.47,Tháng 12,2024-01-08,Shopee,Yves Rocher,649,1.4,0
Bút kẻ mày,Customizable motivating implementation,4770.0,107.69,Tháng 6,2023-09-02,Shopee,Benefit Cosmetics,397,1.2,1
Bút kẻ mày,User-friendly bi-directional secured line,2269.0,334.7,Tháng 11,2021-12-29,Lazada,Bioré,453,2.5,0
Bút kẻ mày,Business-focused fault-tolerant Internet solution,2830.0,416.19,Tháng 7,2024-09-29,Shopee,Etude House,437,4.4,0
Bút kẻ mày,Customizable uniform toolset,4105.0,173.7,Tháng 11,2024-01-14,Shopee,Colgate,72,4.4,0
Bút kẻ mày,Proactive coherent forecast,3463.0,380.62,Tháng 7,2023-09-18,Lazada,NARS,56,2.7,0
Bút kẻ mày,Function-based transitional alliance,4258.0,266.46,Tháng 11,2022-07-07,Lazada,Clinique for Men,939,3.9,0
Bút kẻ mày,Down-sized impactful project,4524.0,147.98,Tháng 10,2023-12-07,Shopee,Aveeno,60,1.7,1
Bút kẻ mày,Proactive zero-defect monitoring,2450.0,269.38,Tháng 5,2023-05-07,Lazada,Neutrogena,625,1.5,0
Bút kẻ mày,Vision-oriented mission-critical workforce,49.0,179.53,Tháng 5,2023-04-26,Shopee,Farsali,271,1.3,0
Bút kẻ mày,Ameliorated contextually-based structure,3868.0,309.34,Tháng 10,2021-11-24,Lazada,TIGI,198,3.9,0
Bút kẻ mày,Seamless web-enabled hierarchy,1147.0,30.92,Tháng 7,2024-09-01,Lazada,Head & Shoulders,118,1.3,1
Bút kẻ mày,Business-focused needs-based complexity,2342.0,462.96,Tháng 7,2023-05-20,Shopee,Bioré,352,2.3,0
Bút kẻ mày,Customer-focused multi-state array,1576.0,37.31,Tháng 10,2022-02-11,Shopee,Aveda,298,2.0,1
Bút kẻ mày,Multi-lateral scalable capability,1271.0,414.31,Tháng 7,2023-01-19,Shopee,Smashbox,133,2.4,0
Bút kẻ mày,Secured actuating model,1833.0,156.89,Tháng 3,2023-01-26,Shopee,Essie,40,1.1,1
Bút kẻ mày,Horizontal user-facing standardization,4716.0,322.53,Tháng 10,2024-01-09,Shopee,Axe,104,3.8,0
Bút kẻ mày,Compatible stable Graphic Interface,935.0,267.56,Tháng 7,2024-04-18,Lazada,Yves Rocher,129,4.3,0
Bút kẻ mày,Multi-channeled real-time pricing structure,498.0,463.16,Tháng 4,2022-05-22,Shopee,Anastasia Beverly Hills,25,3.7,0
Bút kẻ mày,Ergonomic exuding productivity,172.0,382.56,Tháng 1,2022-06-29,Shopee,Clinique for Men,775,2.5,0
Bút kẻ mày,Re-engineered bottom-line middleware,1870.0,320.71,Tháng 11,2022-08-16,Shopee,Glade,38,4.3,0
Bút kẻ mày,Realigned bandwidth-monitored website,1671.0,446.75,Tháng 12,2022-10-10,Lazada,SK-II,409,4.9,0
Bút kẻ mày,Total context-sensitive interface,4679.0,154.46,Tháng 9,2024-09-29,Shopee,Dr. Jart+,702,4.7,1
Bút kẻ mày,Triple-buffered global archive,4123.0,261.09,Tháng 2,2023-10-16,Shopee,Nike,721,3.0,0
Bút kẻ mày,Devolved zero tolerance secured line,4066.0,194.93,Tháng 8,2024-08-20,Lazada,Olay,996,3.4,0
